Week,CustomerID,SKUID,OrderValue,TransactionDate
1,C38,SKU79,303.9850649454837,2025-01-01
1,C39,SKU17,153.2880153779564,2025-01-01
1,C8,SKU66,270.79426498202906,2025-01-01
1,C1,SKU22,102.44650814977899,2025-01-01
1,C3,SKU31,487.28887958512917,2025-01-01
1,C4,SKU19,360.99958744983076,2025-01-01
1,C25,SKU75,465.03610819090443,2025-01-01
1,C16,SKU94,204.87968043031853,2025-01-01
1,C45,SKU69,33.00765737621839,2025-01-01
1,C11,SKU5,241.49190711018073,2025-01-01
1,C37,SKU53,25.952978856761327,2025-01-01
1,C30,SKU60,156.06834518027853,2025-01-01
1,C30,SKU94,410.4049708231758,2025-01-01
1,C36,SKU46,373.628119842761,2025-01-01
1,C13,SKU52,435.0907079793058,2025-01-01
1,C7,SKU1,322.4438521848581,2025-01-01
1,C23,SKU34,176.5374333118735,2025-01-01
1,C48,SKU51,442.6663785586056,2025-01-01
1,C44,SKU1,362.3143567768019,2025-01-01
1,C5,SKU19,384.90664856074477,2025-01-01
1,C12,SKU48,60.07667278348869,2025-01-01
1,C15,SKU18,223.9926480676142,2025-01-01
1,C34,SKU54,139.88885965635322,2025-01-01
1,C31,SKU79,33.224817255122694,2025-01-01
1,C3,SKU72,497.1983699592261,2025-01-01
1,C2,SKU43,395.4160284074201,2025-01-01
1,C7,SKU19,286.5661917780212,2025-01-01
1,C4,SKU74,319.43688378054327,2025-01-01
1,C13,SKU83,270.3527632315136,2025-01-01
1,C12,SKU61,254.11039539277684,2025-01-01
1,C38,SKU54,211.89220469130558,2025-01-01
1,C40,SKU33,32.226146787059335,2025-01-01
1,C15,SKU91,358.59681805983854,2025-01-01
1,C31,SKU74,45.985722397354365,2025-01-01
1,C6,SKU75,462.8351165981095,2025-01-01
1,C18,SKU86,494.8986817630207,2025-01-01
1,C24,SKU41,315.9128111865022,2025-01-01
1,C13,SKU92,93.46733778210368,2025-01-01
1,C27,SKU28,84.98918164976949,2025-01-01
1,C42,SKU91,430.1944100102546,2025-01-01
1,C15,SKU69,255.02050944692058,2025-01-01
1,C41,SKU64,446.644668733555,2025-01-01
1,C17,SKU86,210.43187706446238,2025-01-01
1,C50,SKU100,250.05187829576576,2025-01-01
1,C27,SKU69,309.25493825618776,2025-01-01
1,C3,SKU31,263.4748079901881,2025-01-01
1,C29,SKU79,432.00604458120876,2025-01-01
1,C10,SKU98,168.4665556709351,2025-01-01
1,C39,SKU11,494.02954366821945,2025-01-01
1,C48,SKU94,287.4255541637356,2025-01-01
1,C30,SKU99,208.5749413973278,2025-01-01
1,C40,SKU36,42.422561909480805,2025-01-01
1,C46,SKU50,141.97645156318524,2025-01-01
1,C8,SKU96,270.12128455288587,2025-01-01
1,C13,SKU61,426.27619709223217,2025-01-01
1,C43,SKU16,77.21395879799094,2025-01-01
1,C25,SKU62,477.8486917564995,2025-01-01
1,C8,SKU67,228.16710021975877,2025-01-01
1,C41,SKU66,336.28582019887017,2025-01-01
1,C18,SKU99,257.4624107260121,2025-01-01
1,C2,SKU98,372.39202385504535,2025-01-01
1,C21,SKU39,184.5946465549904,2025-01-01
1,C34,SKU27,429.88136808333735,2025-01-01
1,C45,SKU93,372.9063157508377,2025-01-01
1,C26,SKU60,425.11896322243445,2025-01-01
1,C10,SKU64,381.0462640748229,2025-01-01
1,C50,SKU58,267.83226269034367,2025-01-01
1,C26,SKU28,288.3928335770331,2025-01-01
1,C10,SKU21,329.5474384495734,2025-01-01
1,C3,SKU79,168.48874210896074,2025-01-01
1,C36,SKU15,24.423291959389704,2025-01-01
1,C18,SKU23,163.02531226338883,2025-01-01
1,C48,SKU50,320.02663891143936,2025-01-01
1,C15,SKU58,410.35154105969224,2025-01-01
1,C49,SKU45,262.3491727999608,2025-01-01
1,C35,SKU33,243.58643874427207,2025-01-01
1,C21,SKU97,66.32787107897516,2025-01-01
1,C36,SKU53,248.51690314234355,2025-01-01
1,C13,SKU41,327.35920253560283,2025-01-01
1,C22,SKU38,231.63220868751935,2025-01-01
1,C7,SKU32,67.99269418279385,2025-01-01
1,C34,SKU74,460.6559176637841,2025-01-01
1,C4,SKU83,234.52914526037495,2025-01-01
1,C20,SKU92,319.602525266751,2025-01-01
1,C24,SKU54,473.02351413996416,2025-01-01
1,C37,SKU6,126.8699670438984,2025-01-01
1,C49,SKU24,118.32346752489073,2025-01-01
1,C42,SKU63,378.654606985323,2025-01-01
1,C28,SKU44,74.73330178451499,2025-01-01
1,C34,SKU80,47.91471173013737,2025-01-01
1,C28,SKU19,97.84736646187557,2025-01-01
1,C48,SKU78,170.52797665431268,2025-01-01
1,C12,SKU12,79.4387086447041,2025-01-01
1,C44,SKU45,119.10423438156046,2025-01-01
1,C1,SKU22,156.47159874293672,2025-01-01
1,C37,SKU80,168.10632010671813,2025-01-01
1,C44,SKU11,314.12831163071905,2025-01-01
1,C3,SKU62,244.1493235001784,2025-01-01
1,C19,SKU14,123.65210721056968,2025-01-01
1,C34,SKU79,432.9129480734453,2025-01-01
1,C10,SKU56,210.38551066765635,2025-01-01
1,C2,SKU40,428.61582694299625,2025-01-01
1,C41,SKU38,259.54401151873185,2025-01-01
1,C14,SKU94,54.241274191639825,2025-01-01
1,C38,SKU78,451.42671516158737,2025-01-01
1,C14,SKU81,217.22665597907445,2025-01-01
1,C39,SKU39,354.0099656507498,2025-01-01
1,C35,SKU75,335.9376166603498,2025-01-01
1,C11,SKU46,46.494344680660596,2025-01-01
1,C6,SKU55,348.13580029822094,2025-01-01
1,C5,SKU56,458.6184948310659,2025-01-01
1,C37,SKU63,185.24296826502209,2025-01-01
1,C13,SKU93,20.430449525845248,2025-01-01
1,C25,SKU10,383.1294946192586,2025-01-01
1,C3,SKU6,284.8267975999102,2025-01-01
1,C19,SKU65,457.95662335968814,2025-01-01
1,C22,SKU25,240.86278210264155,2025-01-01
1,C5,SKU32,88.92627398234349,2025-01-01
1,C22,SKU51,33.46336706701766,2025-01-01
1,C34,SKU39,49.30966438548041,2025-01-01
1,C48,SKU11,252.09820747708525,2025-01-01
1,C36,SKU14,163.63735453067054,2025-01-01
1,C11,SKU84,323.31793756645766,2025-01-01
1,C24,SKU18,157.17380136662905,2025-01-01
1,C27,SKU34,171.80487121949736,2025-01-01
1,C46,SKU80,225.6924851441824,2025-01-01
1,C28,SKU33,468.2951566749935,2025-01-01
1,C41,SKU39,176.213032243022,2025-01-01
1,C16,SKU90,120.5953455491452,2025-01-01
1,C10,SKU69,96.66157270324375,2025-01-01
1,C36,SKU7,335.257469176578,2025-01-01
1,C35,SKU31,396.14522233779047,2025-01-01
1,C47,SKU64,240.06403126768137,2025-01-01
1,C33,SKU90,36.21546636174084,2025-01-01
1,C22,SKU28,111.56142665507964,2025-01-01
1,C45,SKU58,110.67018257644068,2025-01-01
1,C25,SKU31,420.4781409830951,2025-01-01
1,C24,SKU12,354.70945570109126,2025-01-01
1,C47,SKU45,289.9506642709977,2025-01-01
1,C45,SKU33,122.59323992568962,2025-01-01
1,C27,SKU45,174.41605607498136,2025-01-01
1,C43,SKU54,341.9098662896417,2025-01-01
1,C7,SKU14,210.22425713815517,2025-01-01
1,C4,SKU66,226.24735402723783,2025-01-01
1,C10,SKU59,245.22687856959058,2025-01-01
1,C37,SKU84,453.1276568581916,2025-01-01
1,C10,SKU53,165.1740884380177,2025-01-01
1,C31,SKU64,436.79513950956,2025-01-01
1,C6,SKU15,324.1838686765379,2025-01-01
1,C32,SKU1,135.98052463198715,2025-01-01
1,C14,SKU40,48.000102443076806,2025-01-01
1,C44,SKU98,303.7845391929272,2025-01-01
1,C33,SKU32,355.29216307789454,2025-01-01
1,C13,SKU52,211.6688359382932,2025-01-01
1,C9,SKU38,156.70846070917656,2025-01-01
1,C13,SKU15,106.89112043891367,2025-01-01
1,C12,SKU2,84.74384975450104,2025-01-01
1,C2,SKU37,336.585271213053,2025-01-01
1,C19,SKU46,198.83302637776015,2025-01-01
1,C39,SKU35,58.658164798975754,2025-01-01
1,C29,SKU23,78.18786080545961,2025-01-01
1,C30,SKU63,67.49824055359568,2025-01-01
1,C11,SKU95,392.54615939824254,2025-01-01
1,C9,SKU2,48.41338896580175,2025-01-01
1,C10,SKU100,126.13042354072041,2025-01-01
1,C23,SKU45,454.7596136090183,2025-01-01
1,C43,SKU94,153.32187192778233,2025-01-01
1,C23,SKU90,225.99905961104093,2025-01-01
1,C29,SKU25,365.9114476447946,2025-01-01
1,C5,SKU29,328.7311266488563,2025-01-01
1,C31,SKU67,202.05822789069447,2025-01-01
1,C47,SKU32,294.46711505583346,2025-01-01
1,C32,SKU68,39.0719285809229,2025-01-01
1,C9,SKU50,319.3725794075044,2025-01-01
1,C7,SKU14,225.25307656040263,2025-01-01
1,C42,SKU83,110.50729634761208,2025-01-01
1,C33,SKU24,450.07009094405214,2025-01-01
1,C50,SKU44,457.812297875612,2025-01-01
1,C48,SKU30,61.88627185677528,2025-01-01
1,C45,SKU5,385.61600029708126,2025-01-01
1,C41,SKU48,267.79901793605933,2025-01-01
1,C23,SKU51,418.0453932865748,2025-01-01
1,C46,SKU73,40.296822188949676,2025-01-01
1,C26,SKU28,264.5318531970164,2025-01-01
1,C25,SKU22,293.2514155515974,2025-01-01
1,C27,SKU92,407.8897638230533,2025-01-01
1,C29,SKU92,466.7228099965947,2025-01-01
